x,y,z,static_feasible,dynamic_feasible,static_index,dynamic_index,difference_index,worst_residual
-3.5,-5.0,2.5,0,0,0.0,0.0,0.0,174.8473924066466
-3.0,-5.0,2.5,0,0,0.0,0.0,0.0,174.455974480419
-2.5,-5.0,2.5,0,0,0.0,0.0,0.0,173.797368258233
-2.0,-5.0,2.5,0,0,0.0,0.0,0.0,172.66883846039968
-1.5,-5.0,2.5,0,0,0.0,0.0,0.0,171.1612302867678
-1.0,-5.0,2.5,0,0,0.0,0.0,0.0,169.71183673146706
-0.5,-5.0,2.5,0,0,0.0,0.0,0.0,168.20221869110264
0.0,-5.0,2.5,0,0,0.0,0.0,0.0,166.6421316447391
0.5,-5.0,2.5,0,0,0.0,0.0,0.0,168.20221869110264
1.0,-5.0,2.5,0,0,0.0,0.0,0.0,169.7118367310143
1.5,-5.0,2.5,0,0,0.0,0.0,0.0,171.16123028676776
2.0,-5.0,2.5,0,0,0.0,0.0,0.0,172.6688384603997
2.5,-5.0,2.5,0,0,0.0,0.0,0.0,173.797368258233
3.0,-5.0,2.5,0,0,0.0,0.0,0.0,174.455974480419
3.5,-5.0,2.5,0,0,0.0,0.0,0.0,174.84739240664658
4.0,-5.0,2.5,0,0,0.0,0.0,0.0,175.46055011173482
4.5,-5.0,2.5,0,0,0.0,0.0,0.0,188.87853375756558
5.0,-5.0,2.5,0,0,0.0,0.0,0.0,217.45620215116708
5.5,-5.0,2.5,0,0,0.0,0.0,0.0,255.58685231417016
-5.5,-4.5,2.5,0,0,0.0,0.0,0.0,233.80882553118553
-5.0,-4.5,2.5,0,0,0.0,0.0,0.0,188.87853375756558
-4.5,-4.5,2.5,0,0,0.0,0.0,0.0,151.6058467858672
-4.0,-4.5,2.5,0,0,0.0,0.0,0.0,139.11692029350053
-3.5,-4.5,2.5,0,0,0.0,0.0,0.0,136.58822217188086
-3.0,-4.5,2.5,0,0,0.0,0.0,0.0,134.62581938251407
-2.5,-4.5,2.5,0,0,0.0,0.0,0.0,133.53465894378283
-2.0,-4.5,2.5,0,0,0.0,0.0,0.0,131.33585334343474
-1.5,-4.5,2.5,0,0,0.0,0.0,0.0,127.64277421389498
-1.0,-4.5,2.5,0,0,0.0,0.0,0.0,122.33351106844403
-0.5,-4.5,2.5,0,0,0.0,0.0,0.0,115.91739215527541
0.0,-4.5,2.5,0,0,0.0,0.0,0.0,112.55713806556025
0.5,-4.5,2.5,0,0,0.0,0.0,0.0,115.9173921552754
1.0,-4.5,2.5,0,0,0.0,0.0,0.0,122.33351106844404
1.5,-4.5,2.5,0,0,0.0,0.0,0.0,127.64277421389501
2.0,-4.5,2.5,0,0,0.0,0.0,0.0,131.33585334343474
2.5,-4.5,2.5,0,0,0.0,0.0,0.0,133.5346589437828
3.0,-4.5,2.5,0,0,0.0,0.0,0.0,134.62581938251407
3.5,-4.5,2.5,0,0,0.0,0.0,0.0,136.58822217188094
4.0,-4.5,2.5,0,0,0.0,0.0,0.0,139.1169202935005
4.5,-4.5,2.5,0,0,0.0,0.0,0.0,151.60584678586724
5.0,-4.5,2.5,0,0,0.0,0.0,0.0,188.87853375756558
5.5,-4.5,2.5,0,0,0.0,0.0,0.0,233.80882553118553
-5.5,-4.0,2.5,0,0,0.0,0.0,0.0,222.92774511916207
-5.0,-4.0,2.5,0,0,0.0,0.0,0.0,175.46055011173448
-4.5,-4.0,2.5,0,0,0.0,0.0,0.0,139.1169202935005
-4.0,-4.0,2.5,0,0,0.0,0.0,0.0,125.90616704732436
-3.5,-4.0,2.5,0,0,0.0,0.0,0.0,121.44842295005212
-3.0,-4.0,2.5,0,0,0.0,0.0,0.0,118.38562260157151
-2.5,-4.0,2.5,0,0,0.0,0.0,0.0,114.90904804246604
-2.0,-4.0,2.5,0,0,0.0,0.0,0.0,110.0220549120891
-1.5,-4.0,2.5,0,0,0.0,0.0,0.0,103.03819334130637
-1.0,-4.0,2.5,0,0,0.0,0.0,0.0,93.46237367378089
-0.5,-4.0,2.5,0,0,0.0,0.0,0.0,83.23425258700345
0.0,-4.0,2.5,0,0,0.0,0.0,0.0,80.87529404110954
0.5,-4.0,2.5,0,0,0.0,0.0,0.0,83.23425258700344
1.0,-4.0,2.5,0,0,0.0,0.0,0.0,93.46237367378089
1.5,-4.0,2.5,0,0,0.0,0.0,0.0,103.03819334130635
2.0,-4.0,2.5,0,0,0.0,0.0,0.0,110.02205491208903
2.5,-4.0,2.5,0,0,0.0,0.0,0.0,114.90904804246605
3.0,-4.0,2.5,0,0,0.0,0.0,0.0,118.38562260157194
3.5,-4.0,2.5,0,0,0.0,0.0,0.0,121.44842295005212
4.0,-4.0,2.5,0,0,0.0,0.0,0.0,125.90616704732432
4.5,-4.0,2.5,0,0,0.0,0.0,0.0,139.11692029350053
5.0,-4.0,2.5,0,0,0.0,0.0,0.0,175.46055011173448
5.5,-4.0,2.5,0,0,0.0,0.0,0.0,222.9277451191621
-5.5,-3.5,2.5,0,0,0.0,0.0,0.0,221.84784396589825
-5.0,-3.5,2.5,0,0,0.0,0.0,0.0,174.84739240664663
-4.5,-3.5,2.5,0,0,0.0,0.0,0.0,136.58822217188086
-4.0,-3.5,2.5,0,0,0.0,0.0,0.0,121.44842295005212
-3.5,-3.5,2.5,0,0,0.0,0.0,0.0,113.21742105486695
-3.0,-3.5,2.5,0,0,0.0,0.0,0.0,106.2138844818158
-2.5,-3.5,2.5,0,0,0.0,0.0,0.0,99.55093634992913
-2.0,-3.5,2.5,0,0,0.0,0.0,0.0,91.51524977956866
-1.5,-3.5,2.5,0,0,0.0,0.0,0.0,81.41734361265492
-1.0,-3.5,2.5,0,0,0.0,0.0,0.0,68.69018413975067
-0.5,-3.5,2.5,0,0,0.0,0.0,0.0,60.62473015400966
0.0,-3.5,2.5,0,0,0.0,0.0,0.0,61.57862563557138
0.5,-3.5,2.5,0,0,0.0,0.0,0.0,60.62473015400965
1.0,-3.5,2.5,0,0,0.0,0.0,0.0,68.69018413975068
1.5,-3.5,2.5,0,0,0.0,0.0,0.0,81.41734361265486
2.0,-3.5,2.5,0,0,0.0,0.0,0.0,91.51524977956868
2.5,-3.5,2.5,0,0,0.0,0.0,0.0,99.55093634992915
3.0,-3.5,2.5,0,0,0.0,0.0,0.0,106.2138844818158
3.5,-3.5,2.5,0,0,0.0,0.0,0.0,113.21742105486696
4.0,-3.5,2.5,0,0,0.0,0.0,0.0,121.4484229500521
4.5,-3.5,2.5,0,0,0.0,0.0,0.0,136.5882221718809
5.0,-3.5,2.5,0,0,0.0,0.0,0.0,174.8473924066466
5.5,-3.5,2.5,0,0,0.0,0.0,0.0,221.84784396589825
-5.5,-3.0,2.5,0,0,0.0,0.0,0.0,221.6565114429275
-5.0,-3.0,2.5,0,0,0.0,0.0,0.0,174.45597448041897
-4.5,-3.0,2.5,0,0,0.0,0.0,0.0,134.62581938251407
-4.0,-3.0,2.5,0,0,0.0,0.0,0.0,118.3856226015718
-3.5,-3.0,2.5,0,0,0.0,0.0,0.0,106.2138844818158
-3.0,-3.0,2.5,0,0,0.0,0.0,0.0,94.86480122098075
-2.5,-3.0,2.5,0,0,0.0,0.0,0.0,83.95470804222975
-2.0,-3.0,2.5,0,0,0.0,0.0,0.0,72.47599263697163
-1.5,-3.0,2.5,0,0,0.0,0.0,0.0,58.87991512248151
-1.0,-3.0,2.5,0,0,0.0,0.0,0.0,42.75781110426581
-0.5,-3.0,2.5,0,0,0.0,0.0,0.0,40.81933750517908
0.0,-3.0,2.5,0,0,0.0,0.0,0.0,41.72375931186635
0.5,-3.0,2.5,0,0,0.0,0.0,0.0,40.81933750517912
1.0,-3.0,2.5,0,0,0.0,0.0,0.0,42.75781110426584
1.5,-3.0,2.5,0,0,0.0,0.0,0.0,58.87991512248149
2.0,-3.0,2.5,0,0,0.0,0.0,0.0,72.4759926369716
2.5,-3.0,2.5,0,0,0.0,0.0,0.0,83.95470804222977
3.0,-3.0,2.5,0,0,0.0,0.0,0.0,94.86480122098077
3.5,-3.0,2.5,0,0,0.0,0.0,0.0,106.21388448181577
4.0,-3.0,2.5,0,0,0.0,0.0,0.0,118.3856226015718
4.5,-3.0,2.5,0,0,0.0,0.0,0.0,134.6258193825141
5.0,-3.0,2.5,0,0,0.0,0.0,0.0,174.455974480419
5.5,-3.0,2.5,0,0,0.0,0.0,0.0,221.6565114429275
-5.5,-2.5,2.5,0,0,0.0,0.0,0.0,221.41034783067508
-5.0,-2.5,2.5,0,0,0.0,0.0,0.0,173.79736825823304
-4.5,-2.5,2.5,0,0,0.0,0.0,0.0,133.53465894378274
-4.0,-2.5,2.5,0,0,0.0,0.0,0.0,114.90904804246597
-3.5,-2.5,2.5,0,0,0.0,0.0,0.0,99.55093634992916
-3.0,-2.5,2.5,0,0,0.0,0.0,0.0,83.95470804222978
-2.5,-2.5,2.5,0,0,0.0,0.0,0.0,68.05875723745578
-2.0,-2.5,2.5,0,0,0.0,0.0,0.0,52.322291360588586
